央视频道,#genre#
CCTV1,rtsp://150.138.8.132/PLTV/88888888/224/3221226103/10000100000000060000000002902003_0.smil
CCTV2,rtsp://150.138.8.132/PLTV/88888888/224/3221226173/10000100000000060000000003110715_0.smil
CCTV3,rtsp://150.138.8.132/PLTV/88888888/224/3221227134/415322505.smil
CCTV4,rtsp://150.138.8.132/PLTV/88888888/224/3221226179/10000100000000060000000003110724_0.smil
CCTV5,rtsp://150.138.8.132/PLTV/88888888/224/3221227138/415322482.smil
CCTV5+,rtsp://150.138.8.132/PLTV/88888888/224/3221226143/10000100000000060000000003071273_0.smil
CCTV6,rtsp://150.138.8.132/PLTV/88888888/224/3221227213/432747447.smil
CCTV7,rtsp://150.138.8.132/PLTV/88888888/224/3221226175/10000100000000060000000003110716_0.smil
CCTV8,rtsp://150.138.8.132/PLTV/88888888/224/3221227031/410248915.smil
CCTV9,rtsp://150.138.8.132/PLTV/88888888/224/3221226177/10000100000000060000000003110720_0.smil
CCTV10,rtsp://150.138.8.132/PLTV/88888888/224/3221226181/10000100000000060000000003110727_0.smil
CCTV11,rtsp://150.138.8.132/PLTV/88888888/224/3221226826/395256095.smil
CCTV12,rtsp://150.138.8.132/PLTV/88888888/224/3221226183/10000100000000060000000003110728_0.smil
CCTV13,rtsp://150.138.8.132/PLTV/88888888/224/3221226767/395256391.smil
CCTV14,rtsp://150.138.8.132/PLTV/88888888/224/3221226185/10000100000000060000000003110729_0.smil
CCTV15,rtsp://150.138.8.132/PLTV/88888888/224/3221226736/395256223.smil
CCTV16,rtsp://150.138.8.132/PLTV/88888888/224/3221227290/443330153.smil
CCTV17,rtsp://150.138.8.132/PLTV/88888888/224/3221226366/10000100000000060000000003766311_0.smil
CCTV4K,rtsp://150.138.8.132/PLTV/88888888/224/3221227239/494657502.smil
卫视频道,#genre#
北京卫视,rtsp://150.138.8.132/PLTV/88888888/224/3221226061/10000100000000060000000002709089_0.smil
北京卫视,rtsp://150.138.8.132/PLTV/88888888/224/3221227299/518924348.smil
东方卫视,rtsp://150.138.8.132/PLTV/88888888/224/3221226150/10000100000000060000000002807413_0.smil
东方卫视,rtsp://150.138.8.132/PLTV/88888888/224/3221227331/527738511.smil
广东卫视,rtsp://150.138.8.132/PLTV/88888888/224/3221226067/10000100000000060000000002709095_0.smil
广东卫视,rtsp://150.138.8.132/PLTV/88888888/224/3221227437/521682524.smil
湖南卫视,rtsp://150.138.8.132/PLTV/88888888/224/3221226187/10000100000000060000000003110730_0.smil
湖南卫视,rtsp://150.138.8.132/PLTV/88888888/224/3221227316/527738296.smil
江苏卫视,rtsp://150.138.8.132/PLTV/88888888/224/3221226063/10000100000000060000000002709090_0.smil
江苏卫视,rtsp://150.138.8.132/PLTV/88888888/224/3221227446/527738562.smil
山东卫视,rtsp://150.138.8.132/PLTV/88888888/224/3221226059/10000100000000060000000002709088_0.smil
山东卫视,rtsp://150.138.8.132/PLTV/88888888/224/3221227442/527218192.smil
深圳卫视,rtsp://150.138.8.132/PLTV/88888888/224/3221226088/10000100000000060000000002709106_0.smil
深圳卫视,rtsp://150.138.8.132/PLTV/88888888/224/3221227307/521682571.smil
